0,173975
1,106
2,99
3,109
4,113
5,128
6,129
7,144
8,169
9,183
10,177
11,170
12,195
13,189
14,229
15,256
16,230
17,231
18,252
19,308
20,294
21,341
22,356
23,379
24,392
25,462
26,529
27,534
28,575
29,654
30,682
31,759
32,782
33,883
34,975
35,1027
36,1179
37,1206
38,1304
39,1344
40,1516
41,1592
42,1696
43,1853
44,2024
45,2139
46,2243
47,2362
48,2555
49,2641
50,2802
51,3034
52,3052
53,3325
54,3492
55,3635
56,3853
57,3950
58,4299
59,4419
60,4544
61,4806
62,5087
63,5333
64,5548
65,5679
66,6007
67,6176
68,6592
69,6754
70,6945
71,7361
72,7686
73,8071
74,8280
75,8700
76,9215
77,9517
78,9930
79,10492
80,10787
81,11047
82,11591
83,12486
84,12964
85,13503
86,13966
87,14721
88,15243
89,16025
90,16974
91,17395
92,18301
93,19517
94,20288
95,21452
96,22780
97,23936
98,25028
99,26354
100,27455
101,29186
102,30931
103,32918
104,34779
105,36641
106,38487
107,41676
108,43753
109,46319
110,49111
111,52348
112,56142
113,59286
114,63358
115,67548
116,71724
117,76356
118,81638
119,87341
120,93660
121,99213
122,105758
123,112965
124,119224
125,127253
126,135553
127,143677
128,152921
129,162271
130,171307
131,180061
132,189861
133,200006
134,208679
135,555362
136,1126808
137,921095
138,357481
139,297586
140,254656
141,260247
142,263084
143,266483
144,268329
145,268378
146,267422
147,265321
148,261528
149,256915
150,251839
151,245565
152,237273
153,228489
154,219394
155,210265
156,201727
157,191933
158,181583
159,172276
160,163095
161,153722
162,145062
163,135553
164,127034
165,118606
166,111561
167,103973
168,97014
169,90981
170,84004
171,79037
172,73430
173,68387
174,63504
175,59325
176,55771
177,51594
178,48129
179,45295
180,42299
181,39126
182,36948
183,34481
184,32551
185,30506
186,28845
187,27220
188,25705
189,24286
190,22900
191,21539
192,20472
193,19278
194,18721
195,17464
196,16653
197,15774
198,15227
199,14127
200,13985
201,13469
202,12890
203,12243
204,11967
205,11568
206,11092
207,10743
208,10282
209,10021
210,9688
211,9234
212,9077
213,8555
214,8367
215,8003
216,7762
217,7635
218,7411
219,7142
220,6884
221,6822
222,6766
223,6477
224,6446
225,6386
226,6395
227,6278
228,6229
229,6027
230,6050
231,6082
232,6144
233,6034
234,5807
235,5661
236,5708
237,8220
238,7030
239,8289
240,6907
241,6307
242,5627
243,4938
244,4327
245,3640
246,3191
247,2619
248,2318
249,2182
250,2016
251,1939
252,1714
253,1716
254,1468
255,43798
